0246430,'When the war began, she was only a little girl. When it ended, she was the voice of a generation... A compassionate and sensitive televisual portrait of the Holocaust's greatest diarist.        ',
0112095,'The workplace sitcom "NewsRadio" explores the office politics and interpersonal relationships among the staff of WNYX NewsRadio, New York's #2 news radio station. Beleaguered news director Dave Nelson (Dave Foley) tries his best to manage a staff that includes egotistical anchors Bill McNeal (Phil Hartman) and Catherine Duke (Khandi Alexander), ambitious supervising producer Lisa Miller (Maura Tierney), who also happens to be his on/off girlfriend, hapless reporter Matthew Brock (Andy Dick), sardonic secretary Beth (Vicki Lewis), and tech-happy electrician Joe (Joe Rogan), while also answering to the station's intimidating and eccentric owner Jimmy James (Stephen Root).              ',
4981398,'Dr. Ithica Marvins finds the fabled Foutain of Corez but is betrayed by Talon. Claw intends to use the fountain to turn the entire world population into babies. Chief Quimby decides to join Gadget, Penny & Brain on this mission, hoping to get rid of some Gray hairs in his mustache. / Dr. Claw's old university, Evil U, is having it's annual Catch a Good Guy Day and this year, Gadget is the good guy. Penny goes undercover as transfer student 'Penny Crime'.              ',
3481092,'During flamboyant buddy Zach's vacation, Andrew enjoyed teaming up with considerate George. When Zach realizes his quirks diminish Andrew's eagerness to be his wingman, his semi-jocular suggestion to try other partners is taken seriously, but although it works professionally for Andrew, both friends are miserable without their mate. A campaign for baby animal suits arouses Simon's hope of grandchildren, from Sydney, whose sexually enjoyable relationship with laid-back neighbor hunk Owen is under increasing stress as she tries to hide and deny the truth.              ',
0380124,'Jack Turner, plucked from his free law clinc and brought to the white shoe law firm of Lyons & Lacrosse after the mysterious death of his mentor, Dan Barrington, who ran the place. Owing it to his memory, Jack leaves the world of "street law" and involves himself in high stakes cases as he becomes increasingly convinced his mentor was murdered. Possibly because of something or someone at the firm.              ',
1979388,'"The Good Dinosaur" asks the question: What if the asteroid that forever changed life on Earth missed the planet completely and giant dinosaurs never became extinct? In this epic journey into the world of dinosaurs, an Apatosaurus named Arlo makes an unlikely human friend. While traveling through a harsh and mysterious landscape, Arlo learns the power of confronting his fears and discovers what he is truly capable of.              ',
0107664,'H.P. Lovecraft, the well-known horror writer, is looking in the late thirties after the book 'Necronomicon'. He finds it guarded by monks in an old library. He then copies some stories from it, which unfold for our eyes- and his...              ',
0086759,'Stubble-faced detective Crockett lived in a sailboat guarded by his alligator Elvis. His partner Tubbs was a black New York cop looking for his brother's killer. Together they took on the Florida drug world. The show influenced men's fashions toward Italo-casual and interior decor toward the Miami look. Very trendy music and unusual guest performers.              ',
3626382,'',
0385599,'In Hong Kong, a terrorist organization plans to blackmail the world's government with the help of two fatal diseases a goofy scientist created. Two Interpol agents went to stop their evil plot of world domination, but one of them became a victim of one of the diseases and wanders off acting like a six-year old child. He mindlessly walks into a bullied action film star's mansion, and the star, Jones Bon, was forced to babysit him while dealing with affairs involving his divorced wife and his two daughters. Only a short period of times has passed when Jones, although paying more attention to solving his family situations, finds himself fighting the terrorists.              ',
