142,"2914030;""Movie Friends: Prashant Prabhakar (2013)"";http://www.imdb.com/title/tt2914030/plotsummary"
143,"0059742;""The Sound of Music (1965)"";http://www.imdb.com/title/tt0059742/plotsummary"
144,"0079766;""Quadrophenia (1979)"";http://www.imdb.com/title/tt0079766/plotsummary"
145,"0120689;""The Green Mile (1999)"";http://www.imdb.com/title/tt0120689/plotsummary"
146,"0082111;""Buddy Buddy (1981)"";http://www.imdb.com/title/tt0082111/plotsummary"
147,"0070854;""Under Milk Wood (1972)"";http://www.imdb.com/title/tt0070854/plotsummary"
148,"1392214;""Prisoners (2013)"";http://www.imdb.com/title/tt1392214/plotsummary"
149,"0107207;""In the Name of the Father (1993)"";http://www.imdb.com/title/tt0107207/plotsummary"
150,"0082247;""Death Hunt (1981)"";http://www.imdb.com/title/tt0082247/plotsummary"
151,"4469496;""Fantasmes! Sexe, fiction et tentations (TV Movie 2013)"";http://www.imdb.com/title/tt4469496/plotsummary"
152,"0253997;""The King of the Street Cleaners (1977)"";http://www.imdb.com/title/tt0253997/plotsummary"
153,"0167261;""The Lord of the Rings: The Two Towers (2002)"";http://www.imdb.com/title/tt0167261/plotsummary"
154,"0060124;""Man from Nowhere (1966)"";http://www.imdb.com/title/tt0060124/plotsummary"
155,"2606112;""The Devil Incarnate (2013)"";http://www.imdb.com/title/tt2606112/plotsummary"
156,"0052618;""Ben-Hur (1959)"";http://www.imdb.com/title/tt0052618/plotsummary"
157,"0758758;""Into the Wild (2007)"";http://www.imdb.com/title/tt0758758/plotsummary"
158,"0040897;""The Treasure of the Sierra Madre (1948)"";http://www.imdb.com/title/tt0040897/plotsummary"
159,"0294413;""Buck Naked Arson (2001)"";http://www.imdb.com/title/tt0294413/plotsummary"
160,"0462448;""Need for Speed: Most Wanted (Video Game 2005)"";http://www.imdb.com/title/tt0462448/plotsummary"
161,"0061523;""A Countess from Hong Kong (1967)"";http://www.imdb.com/title/tt0061523/plotsummary"
162,"0120512;""Wild America (1997)"";http://www.imdb.com/title/tt0120512/plotsummary"
163,"2140203;""Wolf Children (2012)"";http://www.imdb.com/title/tt2140203/plotsummary"
164,"0051808;""The Hidden Fortress (1958)"";http://www.imdb.com/title/tt0051808/plotsummary"
